id,name,country,city,street,postal_code
712,BRP - R&D,Canada,Valcourt,565 rue de la Montagne,J0E 2L0
1168,Laserax Inc.,Canada,Québec,101-2811 Watt Ave,G1X 4S8
1194,OSI Machinerie,Canada,Saint-Georges,"2510, 98e Rue",G6A 1E4
482,ArcelorMittal,Canada,Contrecoeur,2050 route des Aciéries,J0L 1C0
1050,Rio Tinto Aluminium Saguenay,Canada,Saguenay,1955 boulevard Mellon,G7S 3G7
6279,Groupe Meloche - Achats,Canada,Beauharnois,"925, rue du Caryer, bureau 201",J6N 0S6
1140,3045 - Pratt & Whitney Canada (R&D),Canada,Longueuil,"1000 Boulevard Marie-Victorin, Station J12",J4G 1A1
1227,GEC Aviation Inc,Canada,Bromont,2 Bd de l'Aéroport,J2L 1S6
5872,Avior - Montreal,Canada,Laval (13),1001 Desserte Nord Autoroute 440,H7L 3W3
655,Industries BRP Megatech,Canada,Shawinigan,"90, 28e Rue",G9T 5K7
655,BRP Megatech,Canada,Shawinigan,"90, 28e Rue",G9T 5K7
655,Kongsberg Automotive,Canada,Shawinigan,"90, 28e Rue",G9T 5K7
10083,Prysmian Group,Canada,Saint-Jérôme,800 Chem. de la Rivière du N,J7Y 5G2
6529,Avior - Laval,Canada,Laval (13),1001 Desserte Nord Autoroute 440,H7L 3W3
6279,Groupe Meloche - Achats 1,Canada,Beauharnois,"925, rue du Caryer, bureau 201",J6N 0S6
6279,Groupe Meloche - Raw Mat,Canada,Beauharnois,"925, rue du Caryer, bureau 201",J6N 0S6
388,The Lion Electric Company,Canada,Saint-Jérôme,921 Chemin de la Rivière du Nord,J7Y 5G2
923,3704 - Pratt & Whitney Canada - (TF),Canada,Longueuil,1000 Boulevard Marie-Victorin,J4G 1A1
657,CVTCORP,Canada,Sainte-Julie,"2101-N, Rue Nobel",J3E 1Z8
787,Quali-T-Group ULC,Canada,Bromont,66 rue Unifix,J2L1N5
12219,Hyco Canada,Canada,St-Wenceslas,1025 Rue Principale,G0Z 1J0
495,Exonetik. inc.,Canada,Sherbrooke,3500 Boul. Industriel,J1L 1V8
495,Exonetik,Canada,Sherbrooke,3500 Boul. Industriel,J1L 1V8
766,Xometry,United States,Gaithersburg,7940 Cessna Avenue,20879
306,MSB Expertise inc.,Canada,Boucherville,333-C Chemin du Tremblay,J4B 7M1
6373,Bateman Manufacturing,Canada,Springwater,5 Winstar Rd,L0L 2L0
1003,Abrigo industrial machines inc.,Canada,Brantford,"349, Henry street",N3S 7V6
293,DYNAMIC CONCEPT,Canada,Lac-Ministuk,"2400, rue Alexis-le-Trotteur",G7X 0J7
527,GRAD4 Production,Canada,Montréal,400 rue montfort,H3C 4A8
431,Camso,Canada,Magog,2633 MacPherson street,j1x 0e6
5456,Groupe Meloche - Offload,Canada,Salaberry-de-Valleyfield,491 Rue des Érables,J6T 6G3
705,Les Escalateurs Atlas,Canada,Saint-Hyacinthe,3175 boulevard Choquette,J2S 7Z8
186,Conception BHIND,Canada,Sherbrooke,Des pois de senteur,j1e 0l7
464,Vanguard Robotics Inc,Canada,Saint-Augustin-de-Desmaures,"15 rue de Rotterdam, Local 1",G3A 1S8
10116,Jamec Inc,Canada,Normandin,1144 Rue Lydoric Doucet,G8M5A6
389,Garier inc,Canada,Mirabel,"Mirabel , QC",J7J 0W4
988,Maverick Machine & Hydraulics,Canada,Mississauga,1633 Trinity Drive,L5T 1K4
301,Amrikart R.C. inc,Canada,Brossard,3605 rue Isabelle,J4Y 2R2
724,Charles Simon inc.,Canada,Montréal,"2019 rue Moreau, suite 100",H1W 2M1
910,École de Technologie Supérieure – Club RockÉTS,Canada,Montréal,"1100 Rue Notre Dame O, Montréal, QC",H3C 1K3
998,Machinerie Torrington,Canada,Brossard,"3705 Place Java, Unité 150",J4Y 0E4
420,Les Industries Fibrobec Inc.,Canada,BELOEIL,219,J3G 4N4
6286,Robsol - Achats,Canada,Laval,5200 Boulevard des Laurentides,H7K 2J8
632,servicemecanique jfg,Canada,l'islet,250 boulevard nilus leclerc,G0R 2C0
806,École de Technologie Supérieure - Enseignants,Canada,Montréal,450 Rue Eleanor,H3C 2E5
364,Adapt Solutions,Canada,Saint-Lambert-de-Lauzon,145 rue Damase-Breton,G0S 2W0
953,Vision Automation Inc.,Canada,Vaughan,"400 Zenway Boulevard, Unit 4",L4H 0S7
205,Revtech systèmes,Canada,Saint-Joseph de beauce,787 avenue guy poulin,G0S 2V0
520,Les Vergers Leahy Inc.,Canada,Franklin,"1772, Route 209",J0S 1E0
448,GRYB International Inc,Canada,VICTORIAVILLE,1400 BOUL. PIERRE-ROUX EST,G6T 2T7
353,Gorila Fitness,Canada,Saint-Pie,147 rue Saint-Pierre,J0H 1W0
279,CFM Robotique,Canada,Sherbrooke,"465, Rue Joseph-Latour",J1C 0W2
6286,Robsol,Canada,Laval (13),5200 Boulevard des Laurentides,H7K 2J8
